run_id,episode,total_reward,avg_reward,epsilon,alpha,gamma,qtable_coverage
1,172,-415,-2.41,0.42225,0.1,0.9,98.0
1,173,-150,-0.87,0.42014,0.1,0.9,98.0
1,174,-210,-1.21,0.41804,0.1,0.9,98.0
1,175,-550,-3.14,0.41595,0.1,0.9,98.0
1,176,-1410,-8.01,0.41387,0.1,0.9,98.0
1,177,-550,-3.11,0.4118,0.1,0.9,98.0
1,178,-330,-1.85,0.40974,0.1,0.9,98.0
1,179,-740,-4.13,0.40769,0.1,0.9,98.0
1,180,-120,-0.67,0.40565,0.1,0.9,98.0
1,181,-240,-1.33,0.40362,0.1,0.9,98.0
1,182,-190,-1.04,0.40161,0.1,0.9,98.0
1,183,-1330,-7.27,0.3996,0.1,0.9,98.0
1,184,-790,-4.29,0.3976,0.1,0.9,98.0
1,185,-340,-1.84,0.39561,0.1,0.9,98.0
1,186,-625,-3.36,0.39363,0.1,0.9,98.0
1,187,-2865,-15.32,0.39167,0.1,0.9,98.0
1,188,-745,-3.96,0.38971,0.1,0.9,98.0
1,189,-2095,-11.08,0.38776,0.1,0.9,98.0
1,190,-230,-1.21,0.38582,0.1,0.9,98.0
1,191,-210,-1.1,0.38389,0.1,0.9,98.0
1,192,-765,-3.98,0.38197,0.1,0.9,98.0
1,193,-280,-1.45,0.38006,0.1,0.9,98.0
1,194,-200,-1.03,0.37816,0.1,0.9,98.0
1,195,-840,-4.31,0.37627,0.1,0.9,98.0
1,196,-850,-4.34,0.37439,0.1,0.9,98.0
1,197,-1240,-6.29,0.37252,0.1,0.9,98.0
1,198,-230,-1.16,0.37066,0.1,0.9,98.0
1,199,-2500,-12.56,0.3688,0.1,0.9,98.0
1,200,-1980,-9.9,0.36696,0.1,0.9,98.0
1,201,-180,-0.9,0.36512,0.1,0.9,98.0
1,202,-780,-3.86,0.3633,0.1,0.9,98.0
1,203,-1300,-6.4,0.36148,0.1,0.9,98.0
1,204,-130,-0.64,0.35967,0.1,0.9,98.0
1,205,-170,-0.83,0.35788,0.1,0.9,98.0
1,206,-805,-3.91,0.35609,0.1,0.9,98.0
1,207,-1040,-5.02,0.35431,0.1,0.9,98.0
1,208,-320,-1.54,0.35253,0.1,0.9,98.0
1,209,-220,-1.05,0.35077,0.1,0.9,98.0
1,210,-440,-2.1,0.34902,0.1,0.9,98.0
1,211,-530,-2.51,0.34727,0.1,0.9,98.0
1,212,-605,-2.85,0.34554,0.1,0.9,98.0
1,213,-290,-1.36,0.34381,0.1,0.9,98.0
1,214,-60,-0.28,0.34209,0.1,0.9,98.0
1,215,-385,-1.79,0.34038,0.1,0.9,98.0
1,216,-620,-2.87,0.33868,0.1,0.9,98.0
1,217,-100,-0.46,0.33698,0.1,0.9,98.0
1,218,-330,-1.51,0.3353,0.1,0.9,98.0
1,219,-240,-1.1,0.33362,0.1,0.9,98.0
1,220,-365,-1.66,0.33195,0.1,0.9,98.0
1,221,-390,-1.76,0.33029,0.1,0.9,98.0
1,222,-255,-1.15,0.32864,0.1,0.9,98.0
1,223,-380,-1.7,0.327,0.1,0.9,98.0
1,224,-260,-1.16,0.32536,0.1,0.9,98.0
1,225,-225,-1.0,0.32374,0.1,0.9,98.0
1,226,-315,-1.39,0.32212,0.1,0.9,98.0
1,227,-400,-1.76,0.32051,0.1,0.9,98.0
1,228,-130,-0.57,0.31891,0.1,0.9,98.0
1,229,-210,-0.92,0.31731,0.1,0.9,98.0
1,230,-395,-1.72,0.31572,0.1,0.9,98.0
1,231,-260,-1.13,0.31415,0.1,0.9,98.0
1,232,-2590,-11.16,0.31258,0.1,0.9,98.0
1,233,-520,-2.23,0.31101,0.1,0.9,98.0
1,234,-940,-4.02,0.30946,0.1,0.9,98.0
1,235,-130,-0.55,0.30791,0.1,0.9,98.0
1,236,-1150,-4.87,0.30637,0.1,0.9,98.0
1,237,-485,-2.05,0.30484,0.1,0.9,98.0
1,238,-100,-0.42,0.30331,0.1,0.9,98.0
1,239,-555,-2.32,0.3018,0.1,0.9,98.0
1,240,-435,-1.81,0.30029,0.1,0.9,98.0
1,241,-525,-2.18,0.29879,0.1,0.9,98.0
1,242,-260,-1.07,0.29729,0.1,0.9,98.0
1,243,-945,-3.89,0.29581,0.1,0.9,98.0
1,244,-250,-1.02,0.29433,0.1,0.9,98.0
1,245,-545,-2.22,0.29286,0.1,0.9,98.0
1,246,-295,-1.2,0.29139,0.1,0.9,98.0
1,247,-60,-0.24,0.28994,0.1,0.9,98.0
1,248,-140,-0.56,0.28849,0.1,0.9,98.0
1,249,-1160,-4.66,0.28704,0.1,0.9,98.0
1,250,-570,-2.28,0.28561,0.1,0.9,98.0
1,251,-430,-1.71,0.28418,0.1,0.9,98.0
1,252,-60,-0.24,0.28276,0.1,0.9,98.0
1,253,-140,-0.55,0.28135,0.1,0.9,98.0
1,254,-595,-2.34,0.27994,0.1,0.9,98.0
1,255,-385,-1.51,0.27854,0.1,0.9,98.0
1,256,-60,-0.23,0.27715,0.1,0.9,98.0
1,257,-90,-0.35,0.27576,0.1,0.9,98.0
1,258,-985,-3.82,0.27438,0.1,0.9,98.0
1,259,-100,-0.39,0.27301,0.1,0.9,98.0
1,260,-720,-2.77,0.27164,0.1,0.9,98.0
1,261,-735,-2.82,0.27029,0.1,0.9,98.0
1,262,-385,-1.47,0.26893,0.1,0.9,98.0
1,263,-250,-0.95,0.26759,0.1,0.9,98.0
1,264,-240,-0.91,0.26625,0.1,0.9,98.0
1,265,-120,-0.45,0.26492,0.1,0.9,98.0
